2020-May-30 11:14:53 AM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 11:14:55 AM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 17052 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 11:14:55 AM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 11:14:55 AM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 11:15:34 AM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 11:15:36 AM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 8700 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 11:15:36 AM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 11:15:36 AM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 11:16:01 AM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 27.304 seconds (JVM running for 32.337)
2020-May-30 11:19:04 AM [http-nio-8080-exec-1] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 11:19:04 AM [http-nio-8080-exec-1] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 11:41:25 AM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 11:41:29 AM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 19132 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 11:41:29 AM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 11:41:29 AM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 11:41:51 AM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 24.84 seconds (JVM running for 33.035)
2020-May-30 11:42:30 AM [http-nio-8080-exec-2] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 11:42:30 AM [http-nio-8080-exec-2] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 11:51:33 AM [main] INFO  eventLogger - Starting spring boot application
